time,mtr_pos_L,mtr_pos_R,mtr_vel_L,mtr_vel_R,gpio_output
22.38000178337097,44.300000000000004,-6.0,117.14285714285715,-42.53968253968254,0
22.390002489089966,45.099999999999994,-6.500000000000001,86.34920634920634,-50.15873015873015,0
22.400001525878906,45.7,-7.1000000000000005,58.41269841269842,-54.920634920634924,0
22.41000199317932,46.0,-7.600000000000001,39.04761904761905,-49.20634920634921,0
22.42013692855835,46.199999999999996,-7.800000000000001,20.95238095238095,-22.53968253968254,0
22.430001735687256,46.300000000000004,-7.699999999999999,12.380952380952385,1.26984126984127,0
22.440001487731934,46.300000000000004,-7.699999999999999,3.8095238095238106,5.396825396825396,0
22.450001001358032,46.400000000000006,-7.499999999999999,6.984126984126985,15.555555555555554,0
22.460002183914185,46.6,-7.200000000000001,16.507936507936506,33.65079365079365,0
22.470001697540283,46.900000000000006,-6.600000000000001,24.126984126984127,50.15873015873015,0
22.480325937271118,47.2,-5.9,32.698412698412696,72.69841269841271,0
22.490001916885376,47.60000000000001,-4.9,43.492063492063494,94.60317460317461,0
22.50024962425232,48.10000000000001,-3.8000000000000007,48.8888888888889,110.15873015873017,0
22.51000165939331,48.6,-2.5,44.44444444444445,124.12698412698414,0
22.520003080368042,49.0,-1.2000000000000002,38.0952380952381,133.65079365079362,0
22.530001640319824,49.300000000000004,0.2,35.87301587301588,140.63492063492063,0
22.54000234603882,49.7,1.5,35.23809523809524,136.5079365079365,0
22.550001621246338,50.0,2.8000000000000007,27.301587301587304,123.17460317460316,0
22.56000280380249,50.1,3.8000000000000007,13.333333333333334,108.25396825396828,0
22.570001363754272,50.1,4.7,0.634920634920635,86.03174603174602,0
22.580002784729004,49.900000000000006,5.300000000000001,-16.19047619047619,64.44444444444444,0
22.590001583099365,49.400000000000006,5.7,-43.17460317460317,42.85714285714286,0
22.60000228881836,48.6,5.9,-76.82539682539684,20.0,0
22.610002279281616,47.2,5.800000000000001,-124.76190476190477,-3.8095238095238106,0
22.62000274658203,45.6,5.800000000000001,-172.69841269841268,-0.634920634920635,0
22.630001544952393,43.1,5.800000000000001,-228.57142857142858,-0.9523809523809527,0
22.640002012252808,40.5,5.7,-264.7619047619047,-1.9047619047619053,0
22.650001525878906,37.300000000000004,5.600000000000001,-297.77777777777777,-12.698412698412696,0
22.66000247001648,34.2,5.4,-320.9523809523809,-19.682539682539684,0
22.67000126838684,30.700000000000006,5.2,-339.36507936507945,-17.460317460317462,0
22.680001258850098,27.200000000000003,5.1000000000000005,-343.8095238095238,-10.476190476190474,0
22.690000772476196,24.0,5.1000000000000005,-325.7142857142857,-0.0,0
22.700001001358032,21.200000000000003,5.2,-295.2380952380952,3.174603174603174,0
22.710002183914185,18.5,5.2,-268.2539682539683,1.587301587301587,0
22.720001697540283,16.0,5.2,-256.19047619047615,6.031746031746032,0
22.73000192642212,13.399999999999999,5.600000000000001,-255.55555555555557,29.523809523809522,0
22.740007638931274,10.999999999999998,6.2,-252.6984126984127,57.46031746031747,0
22.750001907348633,8.3,7.200000000000001,-235.23809523809524,91.11111111111111,0
22.760029554367065,6.4,8.4,-213.015873015873,124.44444444444443,0
22.770001888275146,4.600000000000001,10.100000000000001,-184.44444444444446,158.73015873015873,0
22.78000283241272,3.0,11.900000000000002,-162.2222222222222,185.71428571428575,0
